ID,ClientID,OpenedDate,ClosedDate
184,36,1969-03-06,2013-08-07
185,37,2001-09-13,2014-01-26
186,17,1996-01-18,2003-12-28
187,6,1987-12-11,1999-11-12
188,44,1965-03-05,2000-12-30
189,12,2015-10-01,2015-10-19
190,45,1972-12-31,1983-10-18
191,8,2016-04-18,2016-08-14
192,6,1988-12-01,2015-11-24
193,31,2002-09-13,2005-11-22
194,9,1983-11-05,1983-12-17
195,50,2008-02-12,2016-11-20
196,44,1968-02-14,1974-04-18
197,15,1992-10-17,2006-08-04
198,20,1968-11-05,1984-02-29
199,10,1970-04-28,1999-05-26
200,22,2004-06-05,2013-02-09
201,16,2005-10-14,2009-02-17
202,12,1979-11-07,1992-03-14
203,1,1963-09-19,2016-12-28
204,29,2009-10-30,2011-10-03
205,18,1965-11-28,1978-12-08
206,24,2001-04-20,2015-12-24
207,7,1982-09-29,2000-12-29
208,2,1994-06-21,2015-02-26
209,16,1965-01-17,2000-05-23
210,29,1972-11-15,1976-04-10
211,16,1999-02-06,2010-06-01
212,50,1982-06-05,2002-02-23
213,23,1961-07-30,1987-08-07
214,33,1991-01-14,1994-09-11
215,31,1985-01-15,2006-09-16
216,4,1973-02-21,1991-04-29
217,9,1976-09-06,1990-08-07
218,3,1969-07-13,2004-09-17
219,36,1975-05-17,1986-08-20
220,3,1998-07-27,2005-06-20
221,25,2010-05-21,2011-03-12
222,4,1997-03-30,2005-06-29
223,1,1973-06-15,2001-11-15
224,41,1982-08-18,1998-07-16
225,40,1993-06-23,2007-09-28
226,45,1970-10-02,1972-09-29
227,47,2012-11-15,2012-12-07
228,20,1967-01-04,2016-03-27
229,23,1971-11-24,1975-09-30
230,45,1972-01-16,2014-06-12
231,37,1970-02-01,2003-08-04
232,19,1982-03-26,1982-08-31
233,22,1996-05-24,2012-07-15
234,45,2006-02-10,2016-05-12
235,23,1966-09-02,2003-06-09
236,43,1977-11-17,1983-03-16
237,40,1973-05-28,2012-02-11
238,8,1962-03-08,2000-06-06
239,12,2011-12-27,2013-05-15
240,22,2003-05-28,2007-11-25
241,25,1982-08-23,2014-09-09
242,37,1983-10-22,1991-11-13
243,1,1988-08-20,2006-04-17
244,44,1975-11-16,2010-03-28
245,34,2016-08-20,2016-09-03
246,17,1975-10-02,1987-07-14
247,45,1962-11-17,1996-02-11
248,7,2016-02-18,2016-07-10
249,49,2015-09-19,2015-12-28
250,37,2000-02-23,2015-11-07
251,30,1966-03-15,2006-09-04
252,38,1995-04-30,2008-10-17
253,16,2010-01-22,2010-03-25
254,13,1988-02-01,1992-04-29
255,17,2001-02-22,2011-09-02
256,7,1961-12-18,2016-06-14
257,16,1980-01-03,1989-11-29
258,19,2013-12-16,2014-01-24
259,33,2011-07-23,2011-11-12
260,22,1968-05-07,2004-03-03
261,4,2009-01-26,2009-03-07
262,32,1983-01-16,2000-02-15
263,26,2012-01-10,2012-08-08
264,5,2006-03-21,2006-10-24
265,37,2006-06-08,2010-12-27
266,30,1962-03-23,1975-03-08
267,42,1970-01-26,2003-05-27
268,13,1978-07-20,2000-05-31
269,45,1980-05-17,1984-02-05
270,17,1965-03-19,1969-08-09
271,12,1960-05-01,1983-12-03
272,40,2007-02-14,2014-05-27
273,43,1978-04-11,1982-11-30
274,44,1987-11-25,2002-12-18
275,19,1986-03-10,2010-09-13
276,45,1999-11-11,2003-08-04
277,28,1981-03-26,2010-10-11
278,25,2014-07-17,2014-12-17
279,6,1974-07-11,2003-01-08
280,1,1995-02-14,2007-12-05
281,46,2015-03-15,2016-08-13
282,46,1969-06-22,1992-09-01
283,4,2011-02-19,2016-02-11
284,4,1974-12-07,1991-06-09
285,6,1993-08-14,2015-11-15
286,41,1973-04-27,1979-08-27
287,46,1974-05-12,1976-07-11
288,8,1986-01-16,2004-08-09
289,32,2009-08-10,2013-04-04
290,30,1994-09-05,2011-03-14
291,38,1998-08-23,2011-03-12
292,44,1979-09-30,2006-11-16
293,39,2016-10-02,2016-10-29
294,2,1992-06-29,2002-05-10
295,48,1983-02-01,2006-05-03
296,32,1966-01-02,1983-07-21
297,22,1985-09-03,2011-11-17
298,21,1998-10-06,2014-09-10
299,12,2006-10-03,2008-01-02
300,30,2004-03-26,2008-02-22
301,16,1984-08-10,2016-09-29
302,10,1981-12-21,1988-12-01
303,28,1992-08-20,1995-09-05
304,34,1991-01-11,2013-01-20
305,2,2015-12-18,2015-12-24
306,47,1978-11-01,1988-07-26
307,35,2007-06-02,2016-10-09
308,26,1969-09-27,1978-11-15
309,5,1967-05-22,1969-07-03
310,27,1972-09-03,1985-11-18
311,15,1993-11-07,1998-02-15
312,33,1989-12-16,1991-12-15
313,28,1968-03-24,2003-04-21
314,23,1991-02-28,2003-08-28
315,20,2016-09-12,2016-09-26
316,43,1973-10-30,1995-12-27
317,10,2013-01-21,2015-12-11
318,41,1964-07-05,2011-04-17
319,35,1961-12-02,1984-06-02
320,22,1993-04-09,1993-09-09
321,28,1964-09-20,1975-02-01
322,44,2000-11-14,2007-04-10
323,30,2002-08-24,2008-03-03
324,9,1960-04-27,2006-09-07
325,38,1996-08-14,2001-10-14
326,11,2007-06-07,2008-01-20
327,31,1986-07-31,2008-04-29
328,45,2004-01-11,2005-09-24
329,20,1964-03-15,2016-04-10
330,49,1983-02-09,2001-11-14
331,15,1986-06-23,1991-04-11
332,16,1975-06-23,2007-12-13
333,29,1989-04-21,2000-01-17
334,5,1982-03-15,2011-09-11
335,38,1973-11-26,2011-09-23
336,49,1972-09-10,1993-02-20
337,29,2002-03-14,2005-04-18
338,19,1981-07-18,1991-02-11
339,48,1981-12-07,2013-03-08
340,12,1979-09-03,1985-11-28
341,15,2008-12-06,2009-06-17
342,12,1971-10-29,1993-05-05
343,1,1991-02-08,2006-06-29
344,35,2015-07-11,2016-11-06
345,8,1981-01-06,1989-10-26
346,37,1969-04-08,1997-04-27
347,12,1978-05-19,1996-11-10
348,8,2003-11-12,2009-02-20
349,1,1965-06-06,1980-02-07
350,25,1997-10-05,1998-01-01
351,33,1997-06-15,2015-03-29
352,10,2012-05-06,2016-04-09
353,37,1967-09-18,1987-11-22
354,35,1965-08-08,1985-02-08
355,36,1998-05-15,2013-09-30
356,43,1977-12-21,2011-08-10
357,1,1970-08-13,1990-08-31
358,30,1984-08-28,2010-03-06
359,23,2001-01-14,2007-10-19
360,4,1984-07-07,2007-05-06
361,24,2009-01-02,2011-07-28
362,33,1989-09-02,2003-12-06
363,47,1961-01-28,1984-08-19
364,37,1974-11-23,1998-03-31
365,10,1963-07-14,1999-03-17
366,12,1979-07-02,1994-04-27
367,20,1975-06-02,2000-01-19
368,42,2014-11-21,2014-12-18
369,38,1994-05-15,1999-05-27
370,1,1966-04-27,2003-11-15
371,18,1978-05-22,1987-12-29
372,35,2015-04-10,2015-10-26
373,13,1995-06-25,1999-05-18
374,12,1963-03-22,2007-11-04
375,30,1983-02-26,1992-12-14
376,11,1982-01-06,1991-03-13
377,16,1990-02-02,2013-08-13
378,33,1985-05-09,2003-10-17
379,37,2002-09-10,2002-10-16
380,18,1988-03-04,2007-02-15
381,37,1993-04-09,2005-02-02
382,11,1978-03-11,1984-01-26
383,7,1963-10-13,1977-10-21
384,17,1982-02-09,2005-02-20
385,14,1966-10-17,2002-07-03
386,47,1966-10-07,2013-08-25
387,35,1979-11-20,1980-11-13
388,8,1988-07-30,1997-09-03
389,24,1965-02-04,1966-12-24
390,30,1981-01-28,2011-04-12
391,33,1991-11-18,2001-04-04
392,37,1982-02-28,1993-07-12
393,15,2006-03-21,2007-12-01
394,16,2000-03-14,2007-11-10
395,10,1991-11-01,2016-06-19
396,22,2009-05-25,2011-06-06
397,13,2006-04-02,2011-07-05
398,14,2010-10-26,2016-05-02
399,23,1970-04-26,1985-01-14
400,29,2007-10-30,2015-07-25
401,19,1967-05-14,1976-04-25
402,49,1985-06-06,2005-02-09
403,40,2009-04-22,2015-06-23
404,1,1975-05-04,1989-05-19
405,8,2002-04-01,2008-01-24
406,18,1992-08-27,2009-04-15
407,4,1972-02-08,1989-02-12
408,45,1978-03-30,1994-01-13
409,3,1972-11-18,1976-04-29
410,45,1991-01-21,2015-08-23
411,18,1980-08-28,2012-01-20
412,37,1987-05-26,1991-05-16
413,32,2014-06-13,2016-07-11
414,9,2003-07-20,2016-12-30
415,48,2005-08-27,2005-10-01
416,28,2008-10-31,2010-11-20
417,21,1964-04-09,1971-05-15
418,40,1998-06-11,2010-05-27
419,1,1965-04-30,1998-03-26
420,42,1981-06-28,1987-12-03
421,47,2012-12-02,2016-09-10
422,32,1988-11-23,2016-04-23
423,45,1984-07-13,2000-08-14
424,49,2004-11-06,2012-11-17
425,24,1971-03-27,2001-07-29
426,42,2006-11-02,2006-12-31
427,19,1976-03-07,1987-07-28
428,16,2014-09-04,2016-04-13
429,13,1982-03-10,1995-12-31
430,40,1978-03-13,2009-07-03
431,39,1964-02-02,1995-10-02
432,6,2015-08-09,2016-06-23
433,6,1980-09-17,1982-02-27
434,49,1998-09-05,2013-06-27
435,6,1992-10-10,2003-10-14
436,45,1975-02-19,2005-01-25
437,9,1984-09-18,1995-09-24
438,47,2013-12-30,2016-09-04
439,45,1986-06-21,2015-07-11
440,49,2005-05-16,2009-01-27
441,24,1979-11-02,2004-01-09
442,11,1989-06-30,1994-10-01
443,32,2000-10-13,2001-12-01
444,26,1968-02-10,2013-10-22
445,35,2009-10-16,2014-09-03
446,29,2006-12-14,2011-08-19
447,16,1962-01-26,1987-08-27
448,49,1997-02-07,2016-02-05
449,46,1993-07-13,1994-08-02
450,7,1992-11-01,2008-10-11
451,22,1994-07-14,2005-03-14
452,19,2008-01-25,2008-04-23
453,23,1994-12-27,2011-01-20
454,28,2000-01-16,2014-01-08
455,14,2015-08-26,2015-12-17
456,48,1977-06-15,1978-02-09
457,49,1976-02-19,2010-09-14
458,46,1986-03-11,2000-11-08
459,32,2004-06-01,2016-04-17
460,33,2006-04-23,2009-11-05
461,42,1961-12-18,1967-06-17
462,11,1988-05-18,2008-10-16
463,41,1987-09-20,1993-04-09
464,5,1990-10-18,2005-03-14
465,36,1982-12-08,2008-01-27
466,38,2008-01-10,2011-11-12
467,49,2005-11-25,2011-01-30
468,3,1965-10-15,2001-03-30
469,42,1961-10-16,2004-02-03
470,16,2004-02-02,2009-06-18
471,33,1969-10-02,1986-03-11
472,15,2012-02-28,2012-04-10
473,19,1974-12-27,1983-03-10
474,35,1986-08-16,2003-04-28
475,9,2010-12-30,2012-06-29
476,38,1971-02-02,2011-04-15
477,2,2001-01-30,2015-08-20
478,7,1976-02-26,1996-11-20
479,6,1990-05-10,2014-01-08
480,32,2011-08-04,2015-05-31
481,3,1988-09-03,2013-03-19
482,29,1996-11-25,2008-04-11
483,4,1973-07-18,2005-10-14
484,7,2013-10-08,2013-10-28
485,9,1996-11-17,2001-03-02
486,22,1996-08-24,1996-10-23
487,24,1974-06-30,1975-02-13
488,5,1960-10-12,1992-08-15
489,38,2005-02-20,2015-03-08
490,38,1963-05-09,1969-07-24
491,10,2001-08-31,2010-05-16
492,29,2006-02-05,2014-05-31
493,48,1999-11-22,2008-11-01
494,40,2003-12-04,2004-07-28
495,31,2006-03-24,2006-05-06
496,46,2010-07-01,2016-02-09
497,33,1994-05-13,2012-04-25
498,34,1960-08-29,2001-05-16
499,40,2007-03-21,2007-09-01
500,29,1992-08-07,2010-04-17
